feature	ham_probability	spam_probability
campus	4.3893964851342e-05	3.870189094462087e-06
cams	2.262575507801134e-07	1.2801394697066903e-05
can	0.00207478174065364	0.0026454230994915466
canaan	2.262575507801134e-07	1.0717446723125779e-05
canada	0.00017648088960848846	0.0002256617948924817
canadian	6.267334156609141e-05	7.025881740715789e-05
canal	2.0363179570210205e-06	4.465602801302408e-06
canaveral	4.525151015602268e-07	3.870189094462087e-06
cancel	2.8960966499854515e-05	3.24500470227975e-05
canceled	1.334919549602669e-05	1.1908274136806421e-06
canceling	8.371529378864195e-06	1.7862411205209632e-06
cancellation	1.6969316308508506e-05	4.465602801302408e-06
cancelled	1.8100604062409074e-05	5.95413706840321e-06
cancelling	2.715090609361361e-06	2.3816548273612843e-06
cancer	1.0860362437445444e-05	6.073219809771275e-05
candace	2.715090609361361e-06	5.061016508142729e-06
candid	4.977666117162495e-06	4.167895947882248e-06
candidate	8.10002031792806e-05	2.351884142019268e-05
candidates	7.738008236679879e-05	1.3694515257327385e-05
candide	2.262575507801134e-07	4.465602801302408e-06
candle	1.5838028554607938e-06	5.95413706840321e-06
candlestick	2.715090609361361e-06	4.7633096547225685e-06
candy	1.3575453046806805e-06	1.190827413680642e-05
cane	6.787726523403402e-07	5.358723361562889e-06
canfield	2.2625755078011343e-06	3.870189094462087e-06
canna	2.262575507801134e-07	4.465602801302408e-06
cannabis	2.262575507801134e-07	4.167895947882248e-06
cannel	2.262575507801134e-07	4.7633096547225685e-06
cannister	2.262575507801134e-07	4.465602801302408e-06
cannon	1.334919549602669e-05	5.061016508142729e-06
cannot	0.00029119346785400595	0.00019648652325730595
canoe	2.262575507801134e-07	5.061016508142729e-06
canoga	2.262575507801134e-07	5.061016508142729e-06
canon	4.751408566382382e-06	7.62129544755611e-05
canopus	2.262575507801134e-07	7.144964482083853e-06
canopy	4.525151015602268e-07	1.0122033016285458e-05
cant	2.0363179570210205e-06	1.3099101550487064e-05
cantekin	1.9458149367089754e-05	2.9770685342016053e-07
cantera	3.6201208124818143e-06	2.9770685342016053e-07
cantilever	2.262575507801134e-07	3.870189094462087e-06
cantonese	2.262575507801134e-07	3.870189094462087e-06
cantrell	4.072635914042041e-06	5.954137068403211e-07
canvas	6.787726523403402e-07	1.548075637784835e-05
canvasback	2.262575507801134e-07	3.870189094462087e-06
canvass	4.525151015602268e-07	4.167895947882248e-06
canyon	3.1676057109215877e-06	5.358723361562889e-06
cao	4.977666117162495e-06	8.931205602604816e-07
cap	5.90532207536096e-05	0.00011789191395438357
capabiiities	2.262575507801134e-07	2.0541772885991076e-05
capabiiity	2.262575507801134e-07	8.633498749184656e-06
capabilities	3.235482976155622e-05	3.751106353094023e-05
capability	3.1449799558435767e-05	1.4885342671008026e-05
capable	1.199165019134601e-05	3.423628814331846e-05
capacious	2.262575507801134e-07	4.7633096547225685e-06
capacities	4.977666117162495e-06	1.4885342671008026e-06
capacity	0.0004355457852517183	2.768673736807493e-05
cape	2.262575507801134e-07	6.2518439218233715e-06
capella	2.262575507801134e-07	4.465602801302408e-06
capillary	2.262575507801134e-07	4.7633096547225685e-06
capita	6.787726523403402e-07	2.768673736807493e-05
capital	0.00032716841842804397	0.00014766259929639963
capitalization	2.058943712099032e-05	7.740378188924174e-06
capitalize	5.430181218722722e-06	2.0541772885991076e-05
capitalized	2.9413481601414743e-06	2.977068534201605e-06
capitol	5.430181218722722e-06	2.6793616807814447e-06
capitoline	2.262575507801134e-07	4.465602801302408e-06
capitulate	9.050302031204536e-07	3.870189094462087e-06
capped	7.013984074183515e-06	2.083947973941124e-06
cappelletto	2.9413481601414743e-06	2.9770685342016053e-07
caprice	2.262575507801134e-07	4.167895947882248e-06
capricorn	1.1312877539005671e-06	4.7633096547225685e-06
caps	5.5433099941127784e-05	8.633498749184656e-06
capstone	6.787726523403402e-07	5.95413706840321e-06
capsule	4.525151015602268e-07	6.549550775243532e-06
capsules	4.525151015602268e-07	1.3396808403907224e-05
captain	3.1676057109215877e-06	2.5007375687293486e-05
captaincy	2.262575507801134e-07	4.167895947882248e-06
caption	9.050302031204536e-07	2.977068534201605e-06
captive	2.715090609361361e-06	2.977068534201605e-06
capture	4.6835313011483474e-05	2.709132366123461e-05
captured	1.334919549602669e-05	6.549550775243532e-06
captures	6.561468972623289e-06	1.7862411205209632e-06
capturing	5.430181218722722e-06	3.274775387621766e-06
car	3.665372322637837e-05	0.00010747217408467795
cara	2.126820977333066e-05	5.954137068403211e-07
caracas	4.525151015602268e-07	3.870189094462087e-06
caravan	2.262575507801134e-07	3.870189094462087e-06
caraway	2.262575507801134e-07	5.358723361562889e-06
carbide	8.145271828084082e-06	3.870189094462087e-06
carbon	2.2625755078011343e-06	3.5724822410419264e-06
carbonaceous	2.262575507801134e-07	4.167895947882248e-06
carbonate	2.262575507801134e-07	7.442671335504013e-06
card	6.131579626141073e-05	0.00028043985592179124
cardamom	4.525151015602268e-07	3.870189094462087e-06
cardiac	1.3575453046806805e-06	1.0419739869705618e-05
cardinal	2.262575507801134e-07	4.465602801302408e-06
cardiovascular	2.262575507801134e-07	5.65643021498305e-06
cards	2.6245875890493155e-05	0.00010806758779151828
care	8.552535419488287e-05	0.0001824943011465584
cared	9.050302031204536e-07	1.8457824912049953e-05
career	5.3170524433326654e-05	3.751106353094023e-05
careers	3.6201208124818143e-06	1.7862411205209632e-06
carefui	2.262575507801134e-07	2.857985792833541e-05
careful	1.267042284368635e-05	2.9472978488595892e-05
carefully	2.375704283191191e-05	5.8350543270351464e-05
cares	1.5838028554607938e-06	5.358723361562889e-06
caress	2.262575507801134e-07	3.870189094462087e-06
carey	8.824044480424424e-06	5.061016508142729e-06
carfare	2.262575507801134e-07	5.65643021498305e-06
cargill	4.977666117162495e-06	2.977068534201605e-06
cargo	8.145271828084082e-06	1.667158379152899e-05
cargoes	1.3575453046806805e-06	3.274775387621766e-06
carib	2.262575507801134e-07	5.061016508142729e-06
caribbean	5.882696320282949e-06	1.8160118058629793e-05
caring	1.2217907742126124e-05	3.5724822410419264e-06
carisoprodol	2.262575507801134e-07	1.2801394697066903e-05
carl	3.0997284456875536e-05	1.2801394697066903e-05
carla	7.466499175743743e-06	2.3816548273612843e-06
carlisle	2.262575507801134e-07	5.358723361562889e-06
carlo	1.923189181630964e-05	2.3816548273612843e-06
carlos	5.973199340594994e-05	7.740378188924174e-06
carlsbad	7.240241624963629e-06	4.167895947882248e-06
carlson	8.597786929644309e-06	5.95413706840321e-06
carlton	5.203923667942609e-06	3.870189094462087e-06
carly	1.1765392640565897e-05	1.7862411205209632e-06
carlyle	4.072635914042041e-06	4.7633096547225685e-06
carmen	2.0363179570210205e-06	5.65643021498305e-06
carmichael	6.787726523403402e-07	3.870189094462087e-06
carnage	6.787726523403402e-07	3.5724822410419264e-06
carnegie	2.5793360788932928e-05	4.167895947882248e-06
carney	4.525151015602268e-07	4.167895947882248e-06
carnival	3.6201208124818143e-06	7.740378188924174e-06
carob	2.262575507801134e-07	3.870189094462087e-06
carol	8.552535419488287e-05	4.167895947882248e-06
carole	1.1539135089785784e-05	1.1908274136806421e-06
carolina	7.466499175743743e-06	2.292342771335236e-05
caroline	1.5159255902267599e-05	5.65643021498305e-06
carolyn	1.5611771003827826e-05	4.7633096547225685e-06
carouse	2.262575507801134e-07	4.167895947882248e-06
carpenter	2.9413481601414743e-06	9.526619309445137e-06
carpet	4.525151015602268e-07	6.2518439218233715e-06
carr	2.2852012628791453e-05	1.7862411205209632e-06
carriage	6.787726523403402e-07	5.358723361562889e-06
carrie	2.7377163644393723e-05	3.274775387621766e-06
carried	1.334919549602669e-05	2.351884142019268e-05
carrier	6.108953871063062e-06	2.351884142019268e-05
carriere	5.882696320282949e-06	2.9770685342016053e-07
carriers	1.2217907742126124e-05	1.2205980990226581e-05
carries	7.013984074183515e-06	2.1434893446251557e-05
carrington	6.335211421843175e-06	2.9770685342016053e-07
carrion	2.262575507801134e-07	5.65643021498305e-06
carroll	1.4480483249927257e-05	6.549550775243532e-06
carrot	2.262575507801134e-07	4.167895947882248e-06
carry	3.1449799558435767e-05	6.073219809771275e-05
carrying	2.0136922019430093e-05	1.696929064494915e-05
carryover	7.692756726523855e-06	2.083947973941124e-06
cars	1.0181589785105104e-05	1.607617008468867e-05
carson	2.5793360788932928e-05	4.7633096547225685e-06
cart	7.240241624963629e-06	2.0244066032570916e-05
carte	6.787726523403402e-07	5.061016508142729e-06
cartel	3.1676057109215877e-06	3.5724822410419264e-06
carter	2.986599670297497e-05	1.7862411205209632e-06
cartesian	2.262575507801134e-07	4.167895947882248e-06
carthage	2.9639739152194856e-05	3.274775387621766e-06
cartier	4.525151015602268e-07	4.0785838918561995e-05
cartiers	2.262575507801134e-07	9.228912456024977e-06
cartilage	2.262575507801134e-07	4.465602801302408e-06
cartography	4.525151015602268e-07	4.7633096547225685e-06
carton	2.262575507801134e-07	7.144964482083853e-06
cartoon	9.050302031204536e-07	7.740378188924174e-06
cartridge	2.262575507801134e-07	3.39385812898983e-05
cartridges	9.050302031204536e-07	3.661794297067974e-05
cartwheel	1.0407847335885217e-05	3.274775387621766e-06
cartwright	1.131287753900567e-05	2.9770685342016053e-07
carve	1.8100604062409072e-06	2.977068534201605e-06
caryatid	2.262575507801134e-07	5.061016508142729e-06
cas	8.597786929644309e-06	6.847257628663692e-06
casa	2.262575507801134e-07	1.0717446723125779e-05
cascade	4.751408566382382e-06	3.870189094462087e-06
case	0.0002891571498969849	0.00016641813106186974
cased	2.262575507801134e-07	8.038085042344335e-06
cases	5.045543382396529e-05	3.364087443647814e-05
casey	5.203923667942609e-06	2.977068534201605e-06
cash	0.0004839649011186626	0.0004352474197002747
cashed	5.656438769502835e-06	1.1908274136806421e-06
cashew	2.262575507801134e-07	5.358723361562889e-06
cashflow	6.108953871063062e-06	2.977068534201605e-06
cashflows	7.240241624963629e-06	2.9770685342016053e-07
cashier	4.525151015602268e-07	8.038085042344335e-06
cashing	2.0363179570210205e-06	2.977068534201605e-06
cashout	1.063410488666533e-05	1.4885342671008026e-06
casing	2.262575507801134e-07	1.696929064494915e-05
casino	2.262575507801134e-07	5.715971585667082e-05
casinos	6.787726523403402e-07	8.038085042344335e-06
casket	2.262575507801134e-07	4.465602801302408e-06
caso	2.262575507801134e-07	1.3992222110747545e-05
casos	2.262575507801134e-07	5.061016508142729e-06
cass	1.5611771003827826e-05	2.9770685342016053e-07
cassandra	1.991066446864998e-05	1.4885342671008026e-06
cassani	3.1676057109215877e-06	2.9770685342016053e-07
cassette	2.262575507801134e-07	6.2518439218233715e-06
cast	1.1086619988225557e-05	1.696929064494915e-05
castaneda	7.919014277303969e-06	5.954137068403211e-07
castanet	2.262575507801134e-07	3.870189094462087e-06
caste	2.262575507801134e-07	3.870189094462087e-06
castigate	4.525151015602268e-07	3.870189094462087e-06
castillo	2.0363179570210205e-06	3.483170185015878e-05
casting	2.2625755078011343e-06	4.465602801302408e-06
castle	4.525151015602268e-07	5.65643021498305e-06
castleman	6.787726523403402e-06	2.9770685342016053e-07
castor	2.262575507801134e-07	5.65643021498305e-06
castro	5.656438769502835e-06	4.465602801302408e-06
casual	8.371529378864195e-06	1.2205980990226581e-05
casualties	1.1312877539005671e-06	6.549550775243532e-06
casualty	3.393863261701701e-06	5.358723361562889e-06
cat	3.6201208124818143e-06	3.155692646253702e-05
catalano	3.6201208124818143e-06	2.9770685342016053e-07
catalog	5.203923667942609e-06	3.39385812898983e-05
catalogs	2.262575507801134e-07	8.335791895764495e-06
catalogue	1.5838028554607938e-06	2.232801400651204e-05
catalyst	2.9413481601414743e-06	7.442671335504013e-06
catalytic	4.525151015602268e-07	5.061016508142729e-06
catapult	1.1312877539005671e-06	3.870189094462087e-06
cataract	2.262575507801134e-07	4.167895947882248e-06
catastrophe	3.393863261701701e-06	3.5724822410419264e-06
catastrophic	4.751408566382382e-06	4.167895947882248e-06
catatonia	2.262575507801134e-07	4.167895947882248e-06
catcall	2.262575507801134e-07	3.870189094462087e-06
catch	2.7150906093613608e-05	4.108354577198215e-05
catching	5.656438769502835e-06	7.144964482083853e-06
catchword	2.262575507801134e-07	4.167895947882248e-06
catchy	6.787726523403402e-07	2.4411961980453162e-05
categoric	2.262575507801134e-07	3.870189094462087e-06
categories	1.402796814836703e-05	4.048813206514183e-05
categorized	1.8100604062409072e-06	3.870189094462087e-06
category	4.5704025257582905e-05	0.00021077645222147365
cater	9.050302031204536e-07	8.335791895764495e-06
catered	2.0363179570210205e-06	3.274775387621766e-06
catering	5.203923667942609e-06	8.931205602604816e-06
caterpillar	4.977666117162495e-06	5.061016508142729e-06
catfish	4.525151015602268e-07	3.870189094462087e-06
catharsis	2.262575507801134e-07	4.465602801302408e-06
catherine	1.0181589785105104e-05	1.667158379152899e-05
cathie	3.1676057109215877e-06	8.931205602604816e-07
cathleen	3.393863261701701e-06	5.954137068403211e-07
catholic	1.3575453046806805e-06	5.95413706840321e-06
cathy	1.8326861613189186e-05	5.95413706840321e-06
cation	2.262575507801134e-07	6.2518439218233715e-06
cationic	2.262575507801134e-07	4.167895947882248e-06
cats	4.298893464822154e-06	4.167895947882248e-06
catskill	2.262575507801134e-07	3.870189094462087e-06
cattle	6.787726523403402e-07	1.0122033016285458e-05
cattlemen	2.262575507801134e-07	4.465602801302408e-06
catv	2.262575507801134e-07	5.061016508142729e-06
caucus	3.393863261701701e-06	2.6793616807814447e-06
caught	1.538551345304771e-05	2.322113456677252e-05
cauliflower	4.525151015602268e-07	4.465602801302408e-06
causation	4.525151015602268e-07	3.5724822410419264e-06
cause	5.8148190550489144e-05	0.00031288990294458873
caused	5.520684239034767e-05	2.1434893446251557e-05
causes	1.2896680394466464e-05	1.161056728338626e-05
causey	5.633813014424824e-05	5.954137068403211e-07
causing	2.058943712099032e-05	3.602252926383942e-05
caution	9.729074683544877e-06	7.144964482083853e-06
cautionary	3.393863261701701e-06	2.6793616807814447e-06
cautioned	5.882696320282949e-06	6.4900094045595e-05
cautions	1.1312877539005671e-06	9.526619309445137e-06
cautious	1.131287753900567e-05	4.465602801302408e-06
cautiously	2.2625755078011343e-06	2.083947973941124e-06
cavalier	6.787726523403402e-07	3.5724822410419264e-06
cave	2.2625755078011343e-06	3.5724822410419264e-06
caveat	1.8100604062409072e-06	4.167895947882248e-06
caveman	2.262575507801134e-07	5.358723361562889e-06
cavemen	2.262575507801134e-07	4.465602801302408e-06
cavern	2.2625755078011343e-06	1.2205980990226581e-05
caviar	4.525151015602268e-07	5.358723361562889e-06
caviness	2.262575507801134e-07	4.7633096547225685e-06
cavort	2.262575507801134e-07	3.870189094462087e-06
caw	2.262575507801134e-07	4.465602801302408e-06
cayman	1.7648088960848848e-05	2.083947973941124e-06
cayuga	2.262575507801134e-07	4.465602801302408e-06
cb	5.203923667942609e-06	7.740378188924174e-06
cba	4.072635914042041e-06	2.9770685342016053e-07
cbm	2.715090609361361e-06	2.292342771335236e-05
cbn	2.262575507801134e-07	1.0122033016285458e-05
cbs	1.9684406917869866e-05	2.0244066032570916e-05
cbsmarketwatch	6.787726523403402e-06	2.9770685342016053e-07
cc	0.002037222987224141	3.1854633315957176e-05
ccprivacypolicy	4.751408566382382e-06	2.9770685342016053e-07
ccprod	4.751408566382382e-06	2.083947973941124e-06
ccs	4.5251510156022686e-06	8.931205602604816e-07
cd	2.126820977333066e-05	0.0004078583891856199
cdc	1.8100604062409072e-06	3.5724822410419264e-06
cdgt	2.262575507801134e-07	2.828215107491525e-05
cdn	7.692756726523855e-06	2.6793616807814447e-06
cdrw	2.262575507801134e-07	4.8823923960906323e-05
cds	1.063410488666533e-05	0.00012980018809119
cdt	1.3122937945246577e-05	2.9770685342016053e-07
cdwr	9.95533223432499e-06	2.9770685342016053e-07
ce	7.240241624963629e-06	0.00018695990394786082
cease	4.977666117162495e-06	9.824326162865297e-06
ceased	2.4888330585812476e-06	1.4885342671008026e-06
cec	5.2718009331766424e-05	8.931205602604816e-07
cecil	4.977666117162495e-06	4.465602801302408e-06
cecilia	3.1676057109215877e-06	4.465602801302408e-06
ced	6.787726523403402e-07	5.061016508142729e-06
cedar	6.335211421843175e-06	4.7633096547225685e-06
cedric	3.846378363261928e-06	2.3816548273612843e-06
cefer	4.5251510156022686e-06	2.9770685342016053e-07
ceg	5.203923667942609e-06	1.4885342671008026e-06
ceil	2.262575507801134e-07	2.768673736807493e-05
ceiling	3.6201208124818143e-06	1.7862411205209632e-06
ceilings	1.8100604062409072e-06	2.3816548273612843e-06
ceilular	2.262575507801134e-07	5.95413706840321e-06
cel	1.5838028554607938e-06	2.6198203100974128e-05
celanese	1.8100604062409072e-06	2.083947973941124e-06
celebes	2.262575507801134e-07	4.7633096547225685e-06
celebrate	9.050302031204537e-06	1.13128604299661e-05
celebrating	1.5838028554607938e-06	2.6793616807814447e-06
celebration	9.27655958198465e-06	1.2205980990226581e-05
celebrex	2.262575507801134e-07	2.798444422149509e-05
celebrity	1.5838028554607938e-06	7.442671335504013e-06
celeron	2.262575507801134e-07	1.101515357654594e-05
celeste	3.0092254253755083e-05	3.274775387621766e-06
celestial	2.262575507801134e-07	3.870189094462087e-06
celia	2.262575507801134e-07	4.167895947882248e-06
cell	0.00012444165292906236	9.199141770682961e-05
cellar	2.262575507801134e-07	6.549550775243532e-06
cellophane	2.262575507801134e-07	4.7633096547225685e-06
cellpadding	2.262575507801134e-07	3.6915649824099906e-05
cellphone	2.0363179570210205e-06	2.977068534201605e-06
cells	3.6201208124818143e-06	1.4289928964167706e-05
cellspacing	2.262575507801134e-07	1.696929064494915e-05
cellular	1.0860362437445444e-05	1.2503687843646743e-05
cellulite	2.262575507801134e-07	1.0717446723125779e-05
cellulose	2.262575507801134e-07	5.358723361562889e-06
celtic	2.262575507801134e-07	4.465602801302408e-06
cement	3.393863261701701e-06	4.7633096547225685e-06
cemetery	4.525151015602268e-07	3.5724822410419264e-06
censure	2.262575507801134e-07	5.65643021498305e-06
census	6.787726523403402e-07	6.2518439218233715e-06
cent	0.0001420897418899112	2.5007375687293486e-05
centana	1.4932998351487486e-05	2.9770685342016053e-07
centenary	2.262575507801134e-07	3.870189094462087e-06
centennial	1.8100604062409072e-06	2.977068534201605e-06
center	0.0002658526221666333	0.000226257208599322
centera	2.262575507801134e-07	1.0122033016285458e-05
centered	3.1676057109215877e-06	2.977068534201605e-06
centerfont	2.262575507801134e-07	1.2503687843646743e-05
centerpiece	1.3575453046806805e-06	3.870189094462087e-06
centers	1.9684406917869866e-05	3.5724822410419265e-05
centertable	2.262575507801134e-07	6.847257628663692e-06
centertrtd	2.262575507801134e-07	5.95413706840321e-06
centilli	3.1676057109215877e-06	2.9770685342016053e-07
centra	2.262575507801134e-07	7.144964482083853e-06
central	0.00010860362437445443	8.186938469054415e-05
centralized	4.751408566382382e-06	3.274775387621766e-06
centre	3.1676057109215875e-05	3.870189094462087e-05
centric	1.3575453046806805e-06	4.7633096547225685e-06
centrifuge	2.262575507801134e-07	4.7633096547225685e-06
centrino	2.262575507801134e-07	3.09615127556967e-05
centrist	4.525151015602268e-07	3.5724822410419264e-06
centro	2.262575507801134e-07	1.2205980990226581e-05
cents	0.00029730242172506903	5.686200900325066e-05
century	9.502817132764764e-06	3.1259219609116855e-05
ceo	0.00030250634539301163	0.0001238460510227868
ceos	7.919014277303969e-06	8.931205602604816e-06
cera	0.0002604224409479105	2.9770685342016053e-07
ceramic	2.262575507801134e-07	5.358723361562889e-06
ceramium	2.262575507801134e-07	3.870189094462087e-06
ceraweek	1.5611771003827826e-05	2.9770685342016053e-07
cerberus	9.050302031204536e-07	4.7633096547225685e-06
cereal	2.262575507801134e-07	5.061016508142729e-06
cerebral	2.262575507801134e-07	4.465602801302408e-06
ceremonious	2.262575507801134e-07	5.358723361562889e-06
ceremony	3.1676057109215877e-06	4.465602801302408e-06
cerium	6.787726523403402e-07	3.274775387621766e-06
cernosek	2.375704283191191e-05	2.9770685342016053e-07
certain	0.00016086911860466063	0.00029294354376543794
certainly	5.724316034736869e-05	2.0244066032570916e-05
certainty	7.013984074183515e-06	9.824326162865297e-06
certicom	2.262575507801134e-07	2.232801400651204e-05
certificado	2.262575507801134e-07	5.061016508142729e-06
certificate	2.2173239976451114e-05	3.0663805902276534e-05
certificates	9.502817132764764e-06	9.824326162865297e-06
certification	3.1676057109215877e-06	1.161056728338626e-05
certified	9.502817132764764e-06	3.274775387621766e-05
certify	2.4888330585812476e-06	4.465602801302408e-06
certiorari	2.262575507801134e-07	4.167895947882248e-06
cerulean	2.262575507801134e-07	4.7633096547225685e-06
cervantes	4.525151015602268e-07	3.870189094462087e-06
cervix	2.262575507801134e-07	4.465602801302408e-06
ces	3.891629873417951e-05	2.0244066032570916e-05
cesare	2.262575507801134e-07	3.870189094462087e-06
cesium	2.262575507801134e-07	3.870189094462087e-06
cessation	1.1312877539005671e-06	2.977068534201605e-06
cession	2.262575507801134e-07	4.465602801302408e-06
cetera	4.525151015602268e-07	3.5724822410419264e-06
cethr	2.262575507801134e-07	8.335791895764495e-06
cf	1.8100604062409072e-06	4.2274373185662794e-05
cfa	3.393863261701701e-06	2.9770685342016053e-07
cfe	6.335211421843175e-06	2.9770685342016053e-07
cfm	2.9413481601414745e-05	5.95413706840321e-06
cfo	0.00010566227621431296	3.870189094462087e-06
cfos	3.1676057109215877e-06	1.4885342671008026e-06
cgi	1.4480483249927257e-05	2.26257208599322e-05
ch	3.1676057109215877e-06	2.679361680781445e-05
chad	1.9005634265529528e-05	3.870189094462087e-06
chadwick	2.262575507801134e-07	5.061016508142729e-06
chaff	4.525151015602268e-07	3.5724822410419264e-06
chahal	5.430181218722722e-06	2.9770685342016053e-07
chain	1.6064286105388052e-05	2.5900496247553967e-05
chains	3.1676057109215877e-06	5.65643021498305e-06
chair	9.819577703856922e-05	1.9350945472310434e-05
chaired	9.050302031204537e-06	2.9770685342016053e-07
chairing	4.298893464822154e-06	2.9770685342016053e-07
chairman	0.0003918780779511564	4.644226913354504e-05
chairmen	1.1312877539005671e-06	2.977068534201605e-06
chairperson	7.013984074183515e-06	3.274775387621766e-06
chairs	1.2896680394466464e-05	8.931205602604816e-07
chairwoman	1.5838028554607938e-06	2.6793616807814447e-06
chairwomen	2.262575507801134e-07	4.167895947882248e-06
chaise	2.262575507801134e-07	5.65643021498305e-06
chalcedony	2.262575507801134e-07	4.465602801302408e-06
chalk	9.050302031204536e-07	4.465602801302408e-06
chalkline	2.262575507801134e-07	3.870189094462087e-06
chalky	2.262575507801134e-07	3.870189094462087e-06
challenge	4.004758648808007e-05	1.9350945472310434e-05
challenged	1.2444165292906237e-05	1.101515357654594e-05
challenges	3.574869302325792e-05	9.228912456024977e-06
challenging	1.787434651162896e-05	5.358723361562889e-06
chamber	2.4888330585812476e-06	1.696929064494915e-05
chambers	3.6201208124818143e-06	1.2205980990226581e-05
chamomile	2.262575507801134e-07	3.870189094462087e-06
champ	9.050302031204536e-07	3.870189094462087e-06
champaign	2.262575507801134e-07	3.870189094462087e-06
champion	3.846378363261928e-06	2.6495909954394288e-05
champions	2.715090609361361e-06	1.7862411205209632e-06
championship	6.561468972623289e-06	1.1908274136806421e-06
champlain	2.262575507801134e-07	3.870189094462087e-06
chan	7.013984074183515e-06	2.6793616807814447e-06
chana	2.9413481601414743e-06	2.9770685342016053e-07
chance	9.774326193700899e-05	0.00014796030614981978
chancellor	4.525151015602268e-07	4.465602801302408e-06
chancery	1.3575453046806805e-06	4.167895947882248e-06
chances	1.4480483249927257e-05	1.9648652325730595e-05
chandelier	2.262575507801134e-07	9.824326162865297e-06
chandler	1.8100604062409072e-06	5.358723361562889e-06
chanel	2.262575507801134e-07	1.9350945472310434e-05
chaney	4.072635914042041e-06	5.954137068403211e-07
chang	9.050302031204537e-06	4.465602801302408e-06
change	0.0005065906561966739	0.0003378972786318822
changeable	2.262575507801134e-07	3.870189094462087e-06
changed	0.000141637226788351	4.0785838918561995e-05
changes	0.00047853471989993987	9.764784792181265e-05
changing	5.407555463644711e-05	2.1732600299671718e-05
chanley	6.335211421843175e-06	2.9770685342016053e-07
channe	2.262575507801134e-07	1.13128604299661e-05
channel	2.7377163644393723e-05	3.5724822410419265e-05
channels	4.751408566382382e-06	5.4480354175889375e-05
chanqes	2.262575507801134e-07	9.228912456024977e-06
chantelle	4.5251510156022686e-06	2.9770685342016053e-07
chaos	5.203923667942609e-06	7.740378188924174e-06
chap	9.050302031204536e-07	4.7633096547225685e-06
chaperon	2.262575507801134e-07	4.7633096547225685e-06
chaplain	2.262575507801134e-07	3.870189094462087e-06
chaplaincy	2.262575507801134e-07	5.358723361562889e-06
chapman	1.2444165292906237e-05	5.358723361562889e-06
chapter	9.480191377686752e-05	7.442671335504013e-06
chapters	9.050302031204537e-06	1.7862411205209632e-06
char	2.262575507801134e-07	4.167895947882248e-06
character	6.108953871063062e-06	2.1732600299671718e-05
characteristic	2.9413481601414743e-06	3.870189094462087e-06
characteristics	1.0407847335885217e-05	4.167895947882248e-06
characterized	5.656438769502835e-06	5.954137068403211e-07
characters	2.9413481601414743e-06	6.2518439218233715e-06
charge	0.00017150322349132596	0.0001470671855895593
charged	4.0273844038860185e-05	1.2205980990226581e-05
charges	0.00015951157329997996	4.2274373185662794e-05
charging	1.1086619988225557e-05	2.083947973941124e-06
chariot	2.262575507801134e-07	4.465602801302408e-06
charitable	2.9413481601414743e-06	7.442671335504013e-06
charities	2.2625755078011343e-06	2.083947973941124e-06
charity	4.751408566382382e-06	6.0136784390872426e-05
charla	8.371529378864195e-06	8.931205602604816e-07
charlene	3.393863261701701e-05	8.931205602604816e-07
charles	7.013984074183516e-05	3.661794297067974e-05
charley	4.525151015602268e-07	4.7633096547225685e-06
charlie	4.163138934354087e-05	6.549550775243532e-06
charlotte	2.6019618339713043e-05	8.633498749184656e-06
charm	1.267042284368635e-05	6.847257628663692e-06
charnley	3.1676057109215877e-06	2.9770685342016053e-07
charset	5.656438769502835e-06	0.00018606678338760034
chart	5.136046402708574e-05	1.161056728338626e-05
charta	2.262575507801134e-07	4.167895947882248e-06
charter	1.6969316308508506e-05	4.7633096547225685e-06
chartered	5.203923667942609e-06	1.7862411205209632e-06
charts	1.787434651162896e-05	1.8457824912049953e-05
charybdis	2.262575507801134e-07	1.0717446723125779e-05
chase	9.27655958198465e-05	1.7862411205209632e-05
chasing	6.108953871063062e-06	1.7862411205209632e-06
chastity	2.262575507801134e-07	5.061016508142729e-06
chat	2.126820977333066e-05	3.602252926383942e-05
chateaux	2.262575507801134e-07	5.358723361562889e-06
chatham	1.3575453046806805e-06	4.167895947882248e-06
chatterton	4.072635914042041e-06	2.9770685342016053e-07
chatting	1.1312877539005671e-06	4.167895947882248e-06
chauffeur	2.262575507801134e-07	4.167895947882248e-06
chavez	7.692756726523855e-06	1.7862411205209632e-06
che	2.262575507801134e-07	8.038085042344335e-06
cheaap	2.262575507801134e-07	2.828215107491525e-05
cheap	1.2444165292906237e-05	0.00034653077738106686
cheaper	8.824044480424424e-06	3.1259219609116855e-05
cheapest	1.8100604062409072e-06	6.281614607165387e-05
cheapst	2.262575507801134e-07	3.870189094462087e-06
cheat	2.715090609361361e-06	1.0122033016285458e-05
cheating	1.1312877539005671e-06	2.5007375687293486e-05
check	0.00018937757000295492	0.00044775110754392144
checkbook	2.262575507801134e-07	4.465602801302408e-06
checked	2.8282193847514176e-05	2.5007375687293486e-05
checker	6.787726523403402e-07	3.870189094462087e-06
checkerberry	2.262575507801134e-07	5.358723361562889e-06
checking	2.6924648542833496e-05	1.2205980990226581e-05
checklist	9.27655958198465e-06	5.061016508142729e-06
checkour	2.262575507801134e-07	2.0244066032570916e-05
checkout	3.6201208124818143e-06	1.2801394697066903e-05
checks	1.4932998351487486e-05	1.9946359179150755e-05
cheddar	1.131287753900567e-05	2.9770685342016053e-07
